n,divAndConTime,bruteForceTime
3,3.609999839682132e-05,2.2099997295299545e-05
4,5.7699999160831794e-05,3.2500000088475645e-05
5,4.5500000851461664e-05,8.789999992586672e-05
6,0.00012029999925289303,0.00011549999908311293
7,0.00013299999773153104,0.00017100000331993215
8,7.18000010238029e-05,0.0001384999995934777
9,9.369999679620378e-05,0.00016289999985019676
10,0.00023709999732091092,0.00021560000095632859
11,0.00012140000035287812,0.0002533000006224029
12,0.00012339999739197083,0.0002955999989353586
13,0.00012730000162264332,0.00035059999936493114
14,0.000247500000114087,0.00041200000123353675
15,0.00020079999740119092,0.0004721000004792586
16,0.00018679999993764795,0.0005370999970182311
17,0.00023320000036619604,0.0006057999999029562
18,0.00018869999985327013,0.0006778999995731283
19,0.0002657000004546717,0.0007689999983995222
20,0.00029100000028847717,0.0008438999975624029
21,0.0004350000017439015,0.0009331000001111533
22,0.0004459999981918372,0.0010741000005509704
23,0.00023689999943599105,0.0011739999972633086
24,0.00034299999970244244,0.0017815999999584164
25,0.00042690000191214494,0.0013355999981286004
26,0.000603899999987334,0.0014617000015277881
27,0.00044319999869912863,0.00207589999990887
28,0.0004966999986208975,0.0017565999987709802
29,0.0006574000035470817,0.001799500001652632
30,0.0007000999976298772,0.0017853999997896608
31,0.00065579999863985,0.0018682000008993782
32,0.0004899999985354953,0.0021955000011075754
33,0.0008175000002665911,0.0027468999978736974
34,0.0006253999999898952,0.0025076999991142657
35,0.0006281000023591332,0.002462799999193521
36,0.0010102000014740042,0.0025267999990319367
37,0.0008021000030566938,0.00279210000007879
38,0.000957899999775691,0.0029334999999264255
39,0.0009755999999470077,0.0032162000024982262
40,0.0006230999970284756,0.005102200000692392
41,0.0013034000003244728,0.006490600000688573
42,0.0017026999994413927,0.006072100000892533
43,0.0008545000018784776,0.0036467999998421874
44,0.0009014999995997641,0.0038504999974975362
45,0.0007889999978942797,0.0039986999981920235
46,0.0007933999986562412,0.004348900001787115
47,0.0008368999988306314,0.004520899998169625
48,0.0010475999988557305,0.004953600000590086
49,0.0008458999982394744,0.005140200002642814
50,0.001189800001156982,0.005447999999887543
51,0.0009534000018902589,0.005767599999671802
52,0.0012505999984568916,0.005977999997412553
53,0.001208100002259016,0.00621329999921727
54,0.001532099999167258,0.006530700000439538
55,0.001679699998931028,0.0067372999983490445
56,0.0014364999988174532,0.006985800002439646
57,0.0014236999995773658,0.0072172000000136904
58,0.0015363999991677701,0.00745670000105747
59,0.001843999998527579,0.00782450000042445
60,0.0017554000005475245,0.007913000001281034
61,0.0014848000027996022,0.00898360000064713
62,0.0016345000003639143,0.008576200001698453
63,0.0013896999989810865,0.00890580000123009
64,0.0015763000010338146,0.009257900001102826
65,0.001811699999962002,0.009543899999698624
66,0.001966399999218993,0.01043289999870467
67,0.0016442999985883944,0.010597800002869917
68,0.0023569000004499685,0.011332499998388812
69,0.002437400002236245,0.010085600002639694
70,0.0017836999977589585,0.01011099999959697
71,0.001965100000234088,0.010891700003412552
72,0.0018215999989479315,0.012438999998266809
73,0.0017702000004646834,0.012328500000876375
74,0.0014722000014444347,0.01618620000226656
75,0.002765100001852261,0.021764000000985106
76,0.0017112999994424172,0.01220850000026985
77,0.0023538000023108907,0.012759600002027582
78,0.002400500001385808,0.01558899999872665
79,0.002689299999474315,0.015146699999604607
80,0.0028831999989051837,0.015113600002223393
81,0.002842499998223502,0.015547999999398598
82,0.002253200000268407,0.01613519999955315
83,0.003042000000277767,0.0164695000021311
84,0.0027164999992237426,0.015480300000490388
85,0.002788899997540284,0.015979899999365443
86,0.0018252999980177265,0.017869300001621014
87,0.0022640999995928723,0.015977899998688372
88,0.0024591999972471967,0.01659060000019963
89,0.002885700003389502,0.017846599999757018
90,0.0025341000000480562,0.01861550000103307
91,0.002755299999989802,0.01880410000012489
92,0.003004400001373142,0.01929770000060671
93,0.0028004999985569157,0.020325099998444784
94,0.00321770000300603,0.020232200000464218
95,0.003344900000229245,0.020900600000459235
96,0.0028032999980496243,0.021145200000319164
97,0.0027730999972845893,0.022018800002115313
98,0.0032709999977669213,0.02227839999977732
99,0.003138200001558289,0.02281109999967157
100,0.002871099997719284,0.023034500001813285
101,0.0028824000000895467,0.023671499999181833
102,0.003631300001870841,0.023603600002388703
103,0.0036856000006082468,0.02225429999816697
104,0.0034778000008373056,0.024118600002111634
105,0.0041898000017681625,0.023987499997019768
106,0.003185100002156105,0.025969099999201717
107,0.0032667999985278584,0.02640090000204509
108,0.004734500002086861,0.02700600000025588
109,0.003408699998544762,0.027040500001021428
110,0.003390899997611996,0.02789399999892339
111,0.004186199999821838,0.028536500001791865
112,0.004085300002770964,0.029005299998971168
113,0.004223399999318644,0.029419200000120327
114,0.004255200001352932,0.029826899997715373
115,0.00454389999867999,0.03170809999937774
116,0.003010000000358559,0.029350099997827783
117,0.0034940000005008187,0.02837780000118073
118,0.004201499999908265,0.030101399999693967
119,0.0039049000006343704,0.03013209999699029
120,0.004198200000246288,0.03188379999846802
121,0.004210799997963477,0.03149480000138283
122,0.004401100002723979,0.03263479999804986
123,0.005465800000820309,0.03333569999813335
124,0.005072100000688806,0.03319809999811696
125,0.004238400000758702,0.03608009999879869
126,0.004468099999940023,0.03761609999855864
127,0.0048260000003210735,0.03342970000085188
128,0.0066789999982574955,0.07250039999780711
129,0.012391500000376254,0.05021469999701367
130,0.004435000002558809,0.04350130000239005
131,0.005563300001085736,0.045799300001817755
132,0.004807499997696141,0.04072760000053677
133,0.005425999999715714,0.04025330000149552
134,0.005660300001181895,0.04047500000160653
135,0.005101400001876755,0.03934499999741092
136,0.007097199999407167,0.04926310000155354
137,0.004791700001078425,0.04761239999788813
138,0.00994410000203061,0.04895029999897815
139,0.005059700000856537,0.04356520000146702
140,0.006352300002617994,0.04268279999814695
141,0.005270000001473818,0.04287379999732366
142,0.007894300000771182,0.04619699999966542
143,0.005775900001026457,0.04596049999963725
144,0.007427300002746051,0.04935829999885755
145,0.005126399999426212,0.04926100000011502
146,0.005839099998411257,0.046256700003141304
147,0.005932399999437621,0.0452668999969319
148,0.005435000002762536,0.048221299999568146
149,0.006250099999306258,0.05061070000010659
150,0.0053932999981043395,0.04762810000102036
151,0.006146799998532515,0.04974159999983385
152,0.006809900001826463,0.05134080000061658
153,0.008400800001254538,0.05368010000165668
154,0.004900800002360484,0.052651899997727014
155,0.005946999997831881,0.05694669999866164
156,0.0065108999988297,0.05349890000070445
157,0.005562700000155019,0.07123399999909452
158,0.008844400002999464,0.05588950000310433
159,0.006916900001670001,0.056019600000581704
160,0.008012400001462083,0.05718129999877419
161,0.007128400000510737,0.060577899999771034
162,0.011018799999874318,0.05946110000149929
163,0.00561569999990752,0.06048910000026808
164,0.006937000001926208,0.061438700002327096
165,0.007631799999217037,0.0736362999996345
166,0.006269200002861908,0.06897110000136308
167,0.0069264999983715825,0.06758799999806797
168,0.009747099997184705,0.06878999999753432
169,0.007639100000233157,0.06419649999952526
170,0.008282499999040738,0.07072649999827263
171,0.01129660000151489,0.07287319999886677
172,0.010162700000364566,0.07418909999978496
173,0.009384900000441121,0.07554300000265357
174,0.010013600000092993,0.07717389999743318
175,0.008643199998914497,0.07461010000042734
176,0.009821800002100645,0.08150469999964116
177,0.00821429999996326,0.07948349999787752
178,0.007518399997934466,0.07578620000276715
179,0.00936349999756203,0.07375469999897177
180,0.007852900002035312,0.11186169999928097
181,0.008912900000723312,0.0793822999985423
182,0.007761900000332389,0.07763669999985723
183,0.008664699998917058,0.08338630000071134
184,0.011053100002754945,0.0835466999997152
185,0.008423900002526352,0.08387330000186921
186,0.008135799998854054,0.07724839999718824
187,0.007812199997715652,0.08037440000043716
188,0.008075800000369782,0.08209229999920353
189,0.009374799999932293,0.08292119999896386
190,0.011312200000247685,0.08290599999963888
191,0.00954959999944549,0.08939559999998892
192,0.01008650000221678,0.08892489999925601
193,0.010119200000190176,0.10206499999912921
194,0.00989550000304007,0.08750510000027134
195,0.010415000000648433,0.09176250000018626
